s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_right,d_left
6.981428481911720496e+00,1.223157047093289940e+01,4.619297595536786538e+00,1.126857120521355338e+00,3.918128004641424633e-01,3.263690876513471117e+00,3.216403474555333264e-01,1.148004579703154171e+00,4.443523222327977473e-01
7.081163174510459513e+00,1.214069151172367711e+01,4.660367900965074028e+00,1.165782234982614352e+00,3.888558569084596406e-01,3.273505084736989978e+00,3.286683582761307787e-01,1.107303252817595451e+00,4.650328318206493061e-01
7.180897867109198529e+00,1.204828799613968116e+01,4.697883363475019891e+00,1.204441727327355771e+00,3.864885470315356231e-01,3.283503436142275689e+00,3.284480217805809676e-01,1.070055159805515910e+00,4.880740057976494795e-01
7.280632559707936657e+00,1.195450735669806797e+01,4.731809540840193229e+00,1.242893692630345548e+00,3.846892466588472947e-01,3.293464762242345856e+00,3.217457801513615712e-01,1.036301242083174534e+00,5.028938852751507760e-01
7.380367252306675674e+00,1.185949407690665325e+01,4.762113170564858500e+00,1.281194480477113817e+00,3.834579864197822374e-01,3.303193692941530646e+00,3.089928287220383152e-01,1.006132882771224812e+00,5.143561285449055331e-01
7.480101944905414690e+00,1.176339157331814711e+01,4.788761365101655620e+00,1.319400389219671954e+00,3.827844983002247070e-01,3.312510103028264208e+00,-2.169936550473745562e-01,9.795505681038942924e-01,5.271895727380710994e-01
7.579836637504153707e+00,1.166634181050536512e+01,4.811721702645130883e+00,1.357566893096329608e+00,3.826676020655666033e-01,3.305970295042027107e+00,-3.926635386944131167e-01,9.567940258216515170e-01,5.450993488695400346e-01
7.679571330102892723e+00,1.156848658840083210e+01,4.830961827463509550e+00,1.395749490809196303e+00,3.831079006991588431e-01,3.294103100549135466e+00,-4.207368523482763467e-01,9.446232738298200315e-01,5.634585751026578437e-01
7.779306022701631740e+00,1.146996777902573150e+01,4.846449389969519572e+00,1.434003734015979248e+00,3.841030027747727171e-01,3.281339835460447052e+00,-4.446418184560897990e-01,9.421122104461687741e-01,5.789898715922027206e-01
7.879040715300369868e+00,1.137092802583734574e+01,4.858151940623218756e+00,1.472385313623343794e+00,3.856647956485940720e-01,3.267797222230759857e+00,-4.640438183070748623e-01,9.477724172552277615e-01,5.906474280453382075e-01
