x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
16.174119,12.923629,1.8794,0.7206,0.317755,0.067412,4.0000
16.412048,13.004160,1.9322,0.6674,0.336047,0.079933,4.0000
16.639945,13.086340,1.9719,0.6014,0.351353,0.045344,4.0000
16.857411,13.167413,2.0221,0.5587,0.355360,-0.013768,4.0000
17.059860,13.242177,2.0519,0.5180,0.344981,-0.087722,3.1049
17.248596,13.307986,2.0718,0.5054,0.326926,-0.091182,2.9053
17.427130,13.366716,2.0855,0.5202,0.365402,0.546948,2.7043
17.586376,13.437214,2.0614,0.4947,0.413420,-0.040455,2.1215
17.738257,13.503208,2.0334,0.5015,0.416290,0.077995,1.8728
17.887805,13.570486,1.9602,0.4974,0.551997,1.585123,1.5885
18.016355,13.674477,1.9182,0.4812,0.679731,-0.005191,1.8750
18.149972,13.782374,1.8580,0.4862,0.694942,0.171105,1.8447
18.288546,13.901396,1.7652,0.4951,0.867383,1.733954,1.5188
18.385322,14.059863,1.7163,0.4738,1.073683,0.532969,1.8496
18.468550,14.233164,1.6908,0.4772,1.183555,0.626650,2.1388
18.530773,14.416506,1.7081,0.5110,1.324534,0.836416,2.1868
18.562870,14.608393,1.7151,0.5109,1.506170,1.040137,1.9610
18.555872,14.804323,1.7331,0.4761,1.636796,0.318197,1.9054
18.537384,14.993976,1.8095,0.5144,1.824143,1.608281,1.5771
18.459633,15.176031,1.9214,0.5049,2.024521,0.540020,1.9170
18.369414,15.338418,2.0265,0.4895,2.172039,1.103790,1.9036
18.258405,15.469381,2.1478,0.4732,2.283231,0.122023,1.8135
18.157755,15.583459,2.2687,0.5001,2.418772,1.683484,1.5414
18.033231,15.668001,2.3481,0.4519,2.524095,-0.291466,1.8108
17.917271,15.754236,2.4322,0.4592,2.467098,-0.477069,2.0362
17.805596,15.850017,2.4793,0.4787,2.420955,-0.152803,2.2425
17.691664,15.952363,2.5179,0.5267,2.426557,0.205170,2.4388
17.566115,16.057964,2.4862,0.5252,2.470050,0.320441,2.6329
17.427672,16.162176,2.4966,0.5768,2.523778,0.299463,2.8234
17.275619,16.264395,2.4662,0.5995,2.573241,0.245043,3.0118
17.111615,16.364024,2.4395,0.6359,2.617498,0.214243,3.1973
16.933397,16.462203,2.3855,0.6588,2.657255,0.177747,3.3828
16.740627,16.559215,2.3028,0.6616,2.691077,0.138951,3.5691
16.535450,16.654687,2.2334,0.6881,2.719287,0.112188,3.7545
16.319465,16.748460,2.1723,0.7277,2.742500,0.087018,3.9381
16.095836,16.840083,2.1012,0.7623,2.761598,0.071985,4.0000
15.866639,16.929322,2.0662,0.8338,2.778648,0.066760,4.0000
15.632024,17.016224,2.0097,0.8857,2.794586,0.060881,4.0000
15.392634,17.100741,1.9278,0.9079,2.807303,0.040509,4.0000
15.154341,17.182135,1.8819,0.9619,2.818196,0.045754,4.0000
14.915486,17.260663,1.8274,1.0070,2.830079,0.048555,4.0000
14.674994,17.336484,1.7538,1.0304,2.842136,0.047115,4.0000
14.433059,17.409608,1.7138,1.0862,2.853588,0.043663,4.0000
14.190614,17.479977,1.6308,1.0950,2.865103,0.047274,4.0000
13.946121,17.547780,1.6144,1.1708,2.876807,0.045056,4.0000
13.699922,17.613030,1.5300,1.1700,2.887330,0.037968,4.0000
13.454514,17.675543,1.5343,1.2515,2.897174,0.039647,4.0000
13.209054,17.735454,1.4545,1.2455,2.907093,0.038872,4.0000
12.963611,17.792817,1.4627,1.3236,2.917054,0.040023,4.0000
