x_m,y_m
21.491800,7.167200
21.491800,7.117200
21.491800,7.067200
21.491800,7.017200
21.491800,6.967200
21.491800,6.917200
21.491800,6.867200
21.491800,6.817200
21.491800,6.767200
21.491800,6.717200
21.491800,6.667200
21.491800,6.617200
21.491800,6.567200
21.491800,6.517200
21.491800,6.467200
21.491800,6.417200
21.491800,6.367200
21.491800,6.317200
21.491800,6.267200
21.491800,6.217200
21.491800,6.167200
21.491800,6.117200
21.491800,6.067200
21.491800,6.017200
21.491800,5.967200
21.491800,5.917200
21.491800,5.867200
21.491800,5.817200
21.491800,5.767200
21.491800,5.717200
21.491800,5.667200
21.491800,5.617200
21.491800,5.567200
21.491800,5.517200
21.491800,5.467200
21.491800,5.417200
21.491800,5.367200
21.491800,5.317200
21.491800,5.267200
21.491800,5.217200
21.491800,5.167200
21.491800,5.117200
21.491800,5.067200
21.491800,5.017200
21.491800,4.967200
21.491800,4.917200
21.491800,4.867200
21.491800,4.817200
21.491800,4.767200
21.491800,4.717200
21.491800,4.667200
21.491800,4.617200
21.491800,4.567200
21.491800,4.517200
21.491800,4.467200
21.491800,4.417200
21.491800,4.367200
21.491800,4.317200
21.491800,4.267200
21.491800,4.217200
21.491800,4.167200
21.491800,4.117200
21.491800,4.067200
21.491800,4.017200
21.491800,3.967200
21.491800,3.917200
21.491800,3.867200
21.491800,3.817200
21.491800,3.767200
21.491800,3.717200
21.491800,3.667200
21.491800,3.617200
21.491800,3.567200
21.491800,3.517200
21.491800,3.467200
21.491800,3.417200
21.491800,3.367200
21.491800,3.317200
21.491800,3.267200
21.491800,3.217200
21.491800,3.167200
21.491800,3.117200
21.491800,3.067200
21.491800,3.017200
21.491800,2.967200
21.491800,2.917200
21.491800,2.867200
21.491800,2.817200
21.491800,2.767200
21.491800,2.717200
21.491800,2.667200
21.491800,2.617200
21.491800,2.567200
21.491800,2.517200
21.491800,2.467200
21.491800,2.417200
21.491800,2.367200
21.491800,2.317200
21.491800,2.267200
21.491800,2.217200
21.491800,2.167200
21.491800,2.117200
21.491800,2.067200
21.491800,2.017200
21.491800,1.967200
21.491800,1.917200
21.491800,1.867200
21.491800,1.817200
21.491800,1.767200
21.491800,1.717200
21.491800,1.667200
21.491800,1.617200
21.491800,1.567200
21.491800,1.517200
21.491800,1.467200
21.491800,1.417200
21.491800,1.367200
21.491800,1.317200
21.491800,1.267200
21.491800,1.217200
21.491800,1.167200
21.491800,1.117200
21.491800,1.067200
21.491800,1.017200
21.491800,0.967200
21.491800,0.917200
21.491800,0.867200
21.491800,0.817200
21.491800,0.767200
21.491800,0.717200
21.491800,0.667200
21.491800,0.617200
21.491800,0.567200
21.491800,0.517200
21.491800,0.467200
21.491800,0.417200
21.491800,0.367200
21.491800,0.317200
21.491800,0.267200
21.491800,0.217200
21.491800,0.167200
21.491800,0.117200
21.491800,0.067200
21.491800,0.017200
21.491800,-0.032800
21.491800,-0.082800
21.491800,-0.132800
21.491800,-0.182800
21.491800,-0.232800
21.491800,-0.282800
21.491800,-0.332800
21.491800,-0.382800
21.491800,-0.432800
21.491800,-0.482800
21.491800,-0.532800
21.491800,-0.582800
21.491800,-0.632800
21.491800,-0.682800
21.491800,-0.732800
21.491800,-0.782800
21.491800,-0.832800
21.491800,-0.882800
21.491800,-0.932800
21.491800,-0.982800
21.491800,-1.032800
21.491800,-1.082800
21.491800,-1.132800
21.491800,-1.182800
21.491800,-1.232800
21.491800,-1.282800
21.491800,-1.332800
21.491800,-1.382800
21.491800,-1.432800
21.491800,-1.482800
21.491800,-1.532800
21.491800,-1.582800
21.491800,-1.632800
21.491800,-1.682800
21.491800,-1.732800
21.491800,-1.782800
21.491800,-1.832800
21.491800,-1.882800
21.491800,-1.932800
21.491800,-1.982800
21.491800,-2.032800
21.491800,-2.082800
21.491800,-2.132800
21.491800,-2.182800
21.491800,-2.232800
21.491800,-2.282800
21.491800,-2.332800
21.491800,-2.382800
21.491800,-2.432800
21.491800,-2.482800
21.491800,-2.532800
21.491800,-2.582800
21.491800,-2.632800
21.491800,-2.682800
21.491800,-2.732800
21.491800,-2.782800
21.491800,-2.832800
21.491800,-2.882800
21.491800,-2.932800
21.491800,-2.982800
21.491800,-3.032800
21.491800,-3.082800
21.491800,-3.132800
21.491800,-3.182800
21.491800,-3.232800
21.491800,-3.282800
21.491800,-3.332800
21.491800,-3.382800
21.491800,-3.432800
21.491800,-3.482800
21.491800,-3.532800
21.491800,-3.582800
21.491800,-3.632800
21.491800,-3.682800
21.491800,-3.732800
21.491800,-3.782800
21.491800,-3.832800
21.491800,-3.882800
21.491800,-3.932800
21.491800,-3.982800
21.491800,-4.032800
21.491800,-4.082800
21.491800,-4.132800
21.491800,-4.182800
21.491800,-4.232800
21.491800,-4.282800
21.491800,-4.332800
21.491800,-4.382800
21.491800,-4.432800
21.491800,-4.482800
21.491800,-4.532800
21.491800,-4.582800
21.491800,-4.632800
21.491800,-4.682800
21.491800,-4.732800
21.491800,-4.782800
21.491800,-4.832800
21.491800,-4.882800
21.491800,-4.932800
21.491800,-4.982800
21.491800,-5.032800
21.491800,-5.082800
21.491800,-5.132800
21.491800,-5.182800
21.491800,-5.232800
21.491800,-5.282800
21.491800,-5.332800
21.491800,-5.382800
21.491800,-5.432800
21.491800,-5.482800
21.491800,-5.532800
21.491800,-5.582800
21.491800,-5.632800
21.491800,-5.682800
21.491800,-5.732800
21.491800,-5.782800
21.491800,-5.832800
21.491800,-5.882800
21.491800,-5.932800
21.491800,-5.982800
21.491800,-6.032800
21.491800,-6.082800
21.491800,-6.132800
21.491800,-6.182800
21.491800,-6.232800
21.491800,-6.282800
21.491800,-6.332800
21.491800,-6.382800
21.491800,-6.432800
21.491800,-6.482800
21.491800,-6.532800
21.491800,-6.582800
21.491800,-6.632800
21.491800,-6.682800
21.491800,-6.732800
21.491800,-6.782800
21.491800,-6.832800
21.491800,-6.882800
21.491800,-6.932800
21.491800,-6.982800
21.491800,-7.032800
21.491800,-7.082800
21.491800,-7.132800
21.491800,-7.182800
21.491800,-7.232800
21.491800,-7.282800
21.491800,-7.332800
21.491800,-7.382800
21.491800,-7.432800
21.491800,-7.482800
21.491800,-7.532800
21.491800,-7.582800
21.491800,-7.632800
21.491800,-7.682800
21.491800,-7.732800
21.491800,-7.782800
21.491800,-7.832800
21.491800,-7.882800
21.491800,-7.932800
21.491800,-7.982800
21.491800,-8.032800
21.491800,-8.082800
21.491800,-8.132800
21.491800,-8.182800
21.491800,-8.232800
21.491800,-8.282800
21.491800,-8.332800
21.491800,-8.382800
21.491800,-8.432800
21.491800,-8.482800
21.441800,-8.482800
21.391800,-8.482800
21.341800,-8.482800
21.291800,-8.482800
21.241800,-8.482800
21.191800,-8.482800
21.141800,-8.482800
21.091800,-8.482800
21.041800,-8.482800
20.991800,-8.482800
20.941800,-8.482800
20.891800,-8.482800
20.841800,-8.482800
20.791800,-8.482800
20.741800,-8.482800
20.691800,-8.482800
20.641800,-8.482800
20.591800,-8.482800
20.541800,-8.482800
20.491800,-8.482800
20.441800,-8.482800
20.391800,-8.482800
20.341800,-8.482800
20.291800,-8.482800
20.241800,-8.482800
20.191800,-8.482800
20.141800,-8.482800
20.091800,-8.482800
20.041800,-8.482800
19.991800,-8.482800
19.941800,-8.482800
19.891800,-8.482800
19.841800,-8.482800
19.791800,-8.482800
19.741800,-8.482800
19.691800,-8.482800
19.641800,-8.482800
19.591800,-8.482800
19.541800,-8.482800
19.491800,-8.482800
19.441800,-8.482800
19.391800,-8.482800
19.341800,-8.482800
19.291800,-8.482800
19.241800,-8.482800
19.191800,-8.482800
19.141800,-8.482800
19.091800,-8.482800
19.041800,-8.482800
18.991800,-8.482800
18.941800,-8.482800
